,anammox_inhibition_factor,cod_anaerobic_digestion_inhibition_factor,Ammonia_OUT,Nitrite_OUT,Nitrate_OUT
245,0.6,0.05,0.07056030898596287,0.39610715850647565,0.10579542651775548
246,0.6,0.06,0.0704268057524675,0.39616559998319445,0.10992098785775836
247,0.6,0.07,0.07029904231565942,0.39622192901288644,0.11430579923140918
248,0.6,0.08,0.07017662055324295,0.39627626854164233,0.11891719343782613
249,0.6,0.09,0.07005918172858759,0.39632873178004857,0.12372591434874458
250,0.6,0.1,0.06994640137746304,0.39637942309925245,0.1287057426445682
251,0.6,0.2,0.06902098145917078,0.3968069545009394,0.18375931515820404
252,0.6,0.3,0.0683424419216451,0.3971285385818189,0.24064060581688057
253,0.6,0.4,0.06784053836347653,0.39738405283987965,0.29429544024966864
254,0.6,0.5,0.06743799376856,0.39758975693163506,0.3432446594986664
255,0.6,0.6,0.0671118881760631,0.39775999384656113,0.3873246876372765
256,0.6,0.7,0.06684212151694238,0.39790335808044575,0.42685674683649366
257,0.6,0.8,0.06661514133901618,0.3980258284490357,0.4623107865546864
258,0.6,0.9,0.06642145283526593,0.3981317089274603,0.49417232897927205
259,0.6,1.0,0.06625419463507129,0.39822418455270403,0.5228917590380272
260,0.65,0.0,0.06447993223339507,0.3946716937998168,0.08716107873813381
261,0.65,0.01,0.06436932357679684,0.39467128087495745,0.08850070511337048
262,0.65,0.02,0.06426491695362296,0.39467128989991995,0.09037053902969731
263,0.65,0.03,0.0641661358455327,0.39467162814706847,0.09271025464752744
264,0.65,0.04,0.06407247976195254,0.39467222473931657,0.09546602405935863
265,0.65,0.05,0.06398351139419065,0.39467302501518636,0.09858976703997438
266,0.65,0.06,0.06389884637207235,0.39467398646505913,0.10203849442766519
267,0.65,0.07,0.06381814501731006,0.39467507576910865,0.10577373275560989
268,0.65,0.08,0.0637411056452363,0.3946762666168135,0.10976101941106967
269,0.65,0.09,0.0636674590794036,0.3946775380869539,0.11396945905748776
270,0.65,0.1,0.0635969641248678,0.3946788734336105,0.11837133332317797
271,0.65,0.2,0.06302627470604073,0.3946937085599804,0.16861952827986337
272,0.65,0.3,0.06260288759292013,0.39470762493681794,0.22191786598286592
273,0.65,0.4,0.06231502279358899,0.39472235763665275,0.2727836387473799
274,0.65,0.5,0.06207591317460574,0.3947348549679228,0.319462000436301
275,0.65,0.6,0.061883284425813784,0.3947461266889118,0.3616518646770742
276,0.65,0.7,0.06172459920023041,0.3947562836424756,0.39958016246215333
277,0.65,0.8,0.06159151400858708,0.3947654482807519,0.4336528682183039
278,0.65,0.9,0.061478240999141946,0.3947737375946661,0.4643101477799577
279,0.65,1.0,0.061380629730411855,0.39478125729428487,0.4919690947200894
280,0.7,0.0,0.059181849810221294,0.4035512296754285,0.08506383965699225
281,0.7,0.01,0.059115564979780835,0.4035002972550028,0.08554585638697966
282,0.7,0.02,0.05905366117945167,0.403452717187935,0.08659792878023749
283,0.7,0.03,0.058995673672801445,0.40340809471307093,0.08815680715125515
284,0.7,0.04,0.05894120507334888,0.4033661023795444,0.09016601170979059
